original,disfluent
What religion's schools were integrated into New Zealand public schools between 1979 and 1984?,What city's no religion's schools were integrated into New Zealand public schools between 1979 and 1984?
What theorem states that the probability that a number n is prime is inversely proportional to its direction?,What type of behavior in primes is it possible to determine no sorry what theorem states that the probability that a number n is prime is inversely proportional to its direction?
Who did the Han Chinese want to help the Mongols fight?,Who did the Han Chinese want to help the Khitan no I mean the Mongols fight?
What is the delta in the Rhine delimited in the east by?,What is the mouth no the delta in the Rhine delimited in the east by?
What commemorates Warsaw's heroic history?,What commemorates Heroic City no Warsaw's heroic history?
What do lobates feed on?,What do lobates run or uh feed on?
When did England formally declare war on France?,When did Newcastle no um England formally declare war on France?
 When was Al-Banna born?,Where was When was Al-Banna born?
 When did French Republicans back building the English empire?,When did West Africa take back building the English empire no the French Republicans?
"Can a packet be sent empty?  If so, is it billable?",How or no rather can a packet be sent empty?
What is the length of Hoek van Holland conventionally measured in?,What is the length of Rheinkilometer conventionally measured in no Hoek van Holland?
Public bills normally refer to large-scale what?,What topic do private bills typically have or wait tell me what public bills normally refer to in a large-scale?
What do exemptions come from that prevent bad things?,What do exemptions require no come from that prevent bad things?
What do the Waal and the Nederrijn-Lek discharge throguh?,What year did they stop digging the Pannerdens canal no no tell me what do the Waal and the Nederrijn-Lek discharge through?
In what kind of system of particles are there no unbalanced iinternal forces?,How is no in what kind of system of particles are there no unbalanced internal forces?
In what year did Henry Ware die?,In what year did Joseph Williard I mean Henry Ware die?
What year did Jacksonville consolidate with Davis County?,"What was the, or better yet, what year did Jacksonville consolidate with Davis County?"
